abbr,long.names
accep,acceptance
amer,america
assoc,associates
cl,company listed
cmnty,community
cmntys,communities
cmty,community
co,company
cor,corporation
corp,corporation
cos,companies
ctrs,centers
entrp,enterprise
equip,equipment
explor,exploration
fdg,funding
gp,group
grp,group
hldgs,holdings
inc,incorporated
ind,industry
inds,industries
instrs,instruments
intl,international
invs,investors
invst,investors
labs,laboratories
llc,limited liability corporation
llp,limited liability partnership
lp,limited partnership
ltd,limited
mfg,manufacturing
mkts,markets
na,national association
nv,nv
petro,petroleum
plc,public limited company
plr,private rights label
prods,products
prop,properties
prtnrs,partners
ptr,partnership
rlty,realty
sa,sa
sci,science
serv,service
sftwr,software
soltn,solution
solutn,solutions
svc,service
svcs,services
sys,systems
tech,technology
transportn,transportation
